index	text	rows	verdict	loud_or_silent	mechanism	decisive_quote	publisher_check
33	42 USC 5165(b)	1	CORRECT	—	parenthetical subsection is real	"42 U.S.C. 5165(b) = Stafford Act ""Local and tribal plans"" -- a real subsection of the mitigation-planning section."	law.cornell.edu/uscode/text/42/5165
34	46 USC 6101	1	CORRECT	—	plain bare section, Coast Guard statute	"46 U.S.C. 6101 = ""Marine casualties and reporting""; RINs are USCG (2115-*/1625-*)."	law.cornell.edu/uscode/text/46/6101
35	8 U.S.C. 1101, 1103, 1154, 1155, 1158, 1182, 1226, 1229, 1229a, 1229b, 1229c, 1231, 1252, 1254a, 1255, 1282, 1324d, 1330, 1361, 1362	1	CORRECT	—	20-section INA list, all real including the unusual 1324d	"8 U.S.C. 1324d = ""Civil penalties for failure to depart"" (uscode.house.gov title confirmed real, not a 404); RINs are EOIR (1125-*), and the remaining 19 sections are all standard INA provisions."	uscode.house.gov granule for 8/1324d; law.cornell.edu/uscode/text/8/1324d, /8/1101
36	49 USC 30166	1	CORRECT	—	plain bare section, NHTSA statute (duplicate of item 3 with different formatting)	49 U.S.C. 30166; present in 14/22 sibling notes.	domain match + usc_section_verdict=exists + CFR-note corroboration
37	35 U.S.C. 311	1	CORRECT	—	plain bare section, USPTO statute	"35 U.S.C. 311 = ""Inter partes review""; RINs are USPTO (0651-*)."	law.cornell.edu/uscode/text/35/311
38	47 USC 34 to 39	1	CORRECT	—	stated range, both endpoints real, submarine-cable licensing	"47 U.S.C. 34 (""Licenses for landing or operating cables"") to 39 (""Amendment, modification...of rights granted"") -- real bookend sections; RINs are FCC (3060-*)."	law.cornell.edu/uscode/text/47/34, /47/39
39	31 USC 9701	1	CORRECT	—	plain bare section, canonical user-fee statute (duplicate of item 18 with different formatting)	31 U.S.C. 9701; present in 72/109 sibling notes.	domain match + usc_section_verdict=exists + CFR-note corroboration
40	Pub. L. 109-280, sec. 508, Pension Protection Act of 2006	1	CORRECT	—	Public Law + section, real and well-known	Pub. L. 109-280 sec. 508 = Pension Protection Act of 2006; pl_congress_in_series=true; RIN is EBSA (1210-*).	domain match (well-known law)
41	44 U.S.C. 3312	1	CORRECT	—	plain bare section, NARA statute	"44 U.S.C. 3312 = ""Photographs or microphotographs of records considered as originals""; RIN is NARA (3095-*)."	law.cornell.edu/uscode/text/44/3312
42	49 USC 21301	2	CORRECT	—	plain bare section, FRA rail-safety statute (rows=2)	"49 U.S.C. 21301 = ""Chapter 201 general violations""; RINs are FRA (2130-*); present in 7/7 sibling notes."	law.cornell.edu/uscode/text/49/21301
43	49 U.S.C. 1155	1	CORRECT	—	plain bare section, real but never matched in its 5 sibling notes -- flagged as a watch item, not disproved	"49 U.S.C. 1155 = ""Penalties"" (NTSB chapter, currently valid, not repealed); absent (never near-miss) from all 5 sibling 14 CFR notes checked. The original 2026-08-22 campaign found the ABSENT-without-near-miss bucket dominated by real-but-uncited authorities, not misreads, so absence alone is not disqualifying here; no positive evidence of wrongness was found."	law.cornell.edu/uscode/text/49/1155 (title + full text read); uscode.house.gov confirms current, unrepealed
44	49 USC 41709	1	CORRECT	—	plain bare section, FAA statute	"49 U.S.C. 41709 = ""Records of air carriers""; RINs are FAA (2105-*/2139-*)."	law.cornell.edu/uscode/text/49/41709
45	E.O. 13224	1	CORRECT	—	plain E.O. citation, iconic terrorism-designation order	E.O. 13224, matches BIS export-control RINs (0694-*) exactly.	domain match (well-known EO); eo_in_known_series=true
46	40 U.S.C. 121(c)	1	CORRECT	—	plain parenthetical subsection is real, overwhelming corroboration	"40 U.S.C. 121(c) = ""Delegation of authority"" under the Federal Property and Administrative Services Act -- present in 68/70 sibling 48 CFR (FAR/GSAM) notes. The two rare joined-fragment appearances (ordinals 1-2, 40 U.S.C. 521-523/541-559) belong to a different physical row than this rows=1 sample unit and do not change 121(c)'s own identity."	domain match + usc_section_verdict=exists + CFR-note corroboration (68/70)
47	12 USC 1715b	1	CORRECT	—	plain bare section, HUD/FHA statute	"12 U.S.C. 1715b = ""Rules and regulations""; RINs are HUD (2501-*/2502-*)."	law.cornell.edu/uscode/text/12/1715b
48	Pub. L. 116-147	1	CORRECT	—	Public Law, real	Pub. L. 116-147; pl_congress_in_series=true; RINs are SBA (3245-*).	domain match; pl_congress_in_series confirmed
49	42 USC 7525	1	CORRECT	—	plain bare section, EPA CAA statute	"42 U.S.C. 7525 = ""Motor vehicle and motor vehicle engine compliance testing""; RINs are EPA (2060-*)."	law.cornell.edu/uscode/text/42/7525
50	47 USC 303	1	CORRECT	—	plain bare section, iconic Communications Act citation	"47 U.S.C. 303 = ""Powers and duties of Commission""; RINs are FCC (3060-*)."	law.cornell.edu/uscode/text/47/303
51	47 U.S.C. 303	1	CORRECT	—	plain bare section, duplicate of item 50 with different formatting	47 U.S.C. 303.	law.cornell.edu/uscode/text/47/303
52	42 USC 7408 and 7409	1	CORRECT	—	two plain bare sections, iconic CAA NAAQS citation	"42 U.S.C. 7408 (""Air quality criteria"") and 7409 (""National primary and secondary ambient air quality standards""); RINs are EPA (2060-*)."	law.cornell.edu/uscode/text/42/7409
53	47 U.S.C. 303 and 308(b)	1	CORRECT	—	one plain section + one real parenthetical subsection	"47 U.S.C. 303 and 308(b) -- Cornell confirms 47 U.S.C. 308 has subsections through (d), so (b) is real (""Temporary permits"" family)."	law.cornell.edu/uscode/text/47/308
54	54 U.S.C. 100752	1	CORRECT	—	plain bare section, cross-confirmed against a sibling publisher page	"54 U.S.C. 100752 -- Cornell's own text of 16 U.S.C. 460 (Editorial Notes) lists the 2014 recodification: ""sections 100751(a), 100752, 100753...of Title 54"", confirming 100752 is a real, current NPS section; RINs are NPS (1024-*)."	law.cornell.edu/uscode/text/16/460 (Editorial Notes cross-reference)
55	5 USC 552	1	CORRECT	—	plain bare section, iconic FOIA citation	5 U.S.C. 552; present in 87/127 sibling notes across dozens of agencies.	domain match + usc_section_verdict=exists (canonical/undisputed statute)
56	38 USC 7103(c)	1	CORRECT	—	parenthetical subsection is real	"38 U.S.C. 7103(c): ""The Board on its own motion may correct an obvious error in the record..."" -- a real subsection of the BVA reconsideration statute."	law.cornell.edu/uscode/text/38/7103
57	49 U.S.C. 46102	1	CORRECT	—	plain bare section, FAA/NTSB statute	"49 U.S.C. 46102 = ""Proceedings""; RINs are FAA (2120-*)."	law.cornell.edu/uscode/text/49/46102
58	38 USC 5104	1	CORRECT	—	plain bare section, VA statute	"38 U.S.C. 5104 = ""Decisions and notices of decisions""; RINs are VA (2900-*)."	law.cornell.edu/uscode/text/38/5104
59	21 U.S.C. 352	1	CORRECT	—	plain bare section, FDA statute	"21 U.S.C. 352 = ""Misbranded drugs and devices""; RINs are FDA (0910-*); present in 24/25 sibling notes."	law.cornell.edu/uscode/text/21/352
60	sec 212 of Pension Protection Act of 2006, PL 109-280, 120 Stat 780	1	CORRECT	—	Public Law + Stat volume, internally cross-validated by the artifact itself	sec 212 of the Pension Protection Act of 2006 (Pub. L. 109-280, 120 Stat. 780) -- the row's own statute_volume_matches_public_law=true flag confirms 120 Stat. 780 is the correct volume/page for PL 109-280, matching the well-known PPA 2006 citation.	artifact's own statute_volume_matches_public_law column; domain match
61	18 USC 847	1	CORRECT	—	plain bare section, matches ATF explosives-chapter domain	18 U.S.C. 847 (Chapter 40, explosives); RINs are ATF (1512-*). The rare joined-fragment appearance (ordinal 1, 18 U.S.C. 921-931) belongs to a different physical row than this rows=1 sample unit.	domain match + usc_section_verdict=exists + CFR-note corroboration
62	Sec 934 of the MMA	1	CORRECT	—	act-name corroboration succeeded, real Act, matches agency	Sec 934 of the MMA (Medicare Prescription Drug, Improvement, and Modernization Act of 2003) resolved via corroboration_rule=agency-gloss-narrowed-initialism; RIN is CMS (0938-*).	domain match; corroboration_rule recorded on the row
63	5 USC 3304	1	CORRECT	—	plain bare section, OPM statute	"5 U.S.C. 3304 = ""Competitive service; examinations""; RINs are OPM (3206-*)."	law.cornell.edu/uscode/text/5/3304
64	29 USC 211	1	CORRECT	—	plain bare section, DOL/FLSA statute	"29 U.S.C. 211 = ""Collection of data""; RINs are DOL Wage and Hour (1215-*)."	law.cornell.edu/uscode/text/29/211
65	49 USC 40119	1	CORRECT	—	plain bare section, TSA/FAA security statute	"49 U.S.C. 40119 = ""Sensitive security information""; RINs are FAA (2120-*)."	law.cornell.edu/uscode/text/49/40119
66	42 U.S.C. 2139a	1	CORRECT	—	plain lettered section, matches original campaign's own finding for this exact section	"42 U.S.C. 2139a is real and is the dominant, correct reading for this text per the original 2026-08-22 report's own ""387-row case"" discussion (2139a cited 1,334 times vs the ambiguous parenthesized 2139(a) 387 times); RINs are BIS (0694-*)."	law.cornell.edu/uscode/text/42/2139a (existence confirmed); cross-reference to prior campaign's finding
67	12 USC 1463 to 1464	1	CORRECT	—	stated range, both endpoints real	"12 U.S.C. 1463 (""Supervision of savings associations"") to 1464 (""Federal savings associations"") -- real bookend sections; RINs are OTS/OCC (1550-*/1557-*)."	law.cornell.edu/uscode/text/12/1463, /12/1464
68	12 USC 2013	1	CORRECT	—	plain bare section, Farm Credit statute	"12 U.S.C. 2013 = ""General corporate powers""; RINs are FCA (3052-*); present in 11/12 sibling notes."	law.cornell.edu/uscode/text/12/2013
69	31 USC 1111	1	CORRECT	—	plain bare section, general government statute	"31 U.S.C. 1111 = ""Improving economy and efficiency""; RINs include GSA/OMB-adjacent agencies (0348-*/0930-*/0503-*)."	law.cornell.edu/uscode/text/31/1111
